"filename", "language", "pip requirements", "JSON", "Markdown", "XML", "Python", "YAML", "comment", "blank", "total"
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.github\workflows\package.yml", "YAML", 0, 0, 0, 0, 0, 35, 0, 9, 44
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.idea\AutoMsgTitle.iml", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.idea\misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\auto_msg_title\__init__.py", "Python", 0, 0, 0, 0, 97, 0, 11, 21, 129
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\auto_msg_title\command_actions.py", "Python", 0, 0, 0, 0, 283, 0, 8, 21, 312
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\auto_msg_title\config.py", "Python", 0, 0, 0, 0, 14, 0, 1, 4, 19
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\auto_msg_title\storage.py", "Python", 0, 0, 0, 0, 34, 0, 1, 9, 44
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\mcdreforged.plugin.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\15044\Documents\GitHub\AutoMsgTitle\requirements.txt", "pip requirements", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 13, 2, 34, 428, 35, 21, 66, 600